measuredAt,sensorId,temperature,humidity,pressure,tvoc,eCo2,co2,absolute_humidity
2021-09-20T00:02:00+0900,m5stack-bme280-device-sgp30,,,,164.0,429.0,,
2021-09-20T00:05:00+0900,m5stack-bme280-device-scd30,28.38494,54.48837,,,,438.0,15.101765514955847
2021-09-20T00:09:00+0900,m5stack-bme280-device-bme280,26.1332,62.21348,1013.358,,,,15.225058381253948
2021-09-20T00:12:00+0900,m5stack-bme280-device-sgp30,,,,198.0,461.0,,
2021-09-20T00:15:00+0900,m5stack-bme280-device-scd30,28.23391,54.94198,,,,448.0,15.101913266609202
2021-09-20T00:19:00+0900,m5stack-bme280-device-bme280,26.1388,62.58098,1013.431,,,,15.31977578337652
2021-09-20T00:23:00+0900,m5stack-bme280-device-sgp30,,,,177.0,437.0,,
2021-09-20T00:26:00+0900,m5stack-bme280-device-scd30,28.26863,55.0866,,,,441.0,15.170529261204026
2021-09-20T00:30:00+0900,m5stack-bme280-device-bme280,26.118,62.95937,1013.417,,,,15.394543660103272
2021-09-20T00:33:00+0900,m5stack-bme280-device-sgp30,,,,182.0,442.0,,
2021-09-20T00:36:00+0900,m5stack-bme280-device-scd30,28.19371,55.3672,,,,446.0,15.18526270247304
2021-09-20T00:40:00+0900,m5stack-bme280-device-bme280,26.0688,63.28973,1013.403,,,,15.432921726147686
2021-09-20T00:43:00+0900,m5stack-bme280-device-sgp30,,,,178.0,429.0,,
2021-09-20T00:46:00+0900,m5stack-bme280-device-scd30,28.14891,55.36872,,,,439.0,15.148385800977827
2021-09-20T00:50:00+0900,m5stack-bme280-device-bme280,25.96,63.71774,1013.413,,,,15.44325119443755
2021-09-20T00:53:00+0900,m5stack-bme280-device-sgp30,,,,179.0,442.0,,
2021-09-20T00:56:00+0900,m5stack-bme280-device-scd30,28.0774,55.73323,,,,458.0,15.1883565526332
2021-09-20T01:00:00+0900,m5stack-bme280-device-bme280,25.9472,63.78402,1013.343,,,,15.448272927850583
2021-09-20T01:03:00+0900,m5stack-bme280-device-sgp30,,,,175.0,465.0,,
2021-09-20T01:06:00+0900,m5stack-bme280-device-scd30,27.92861,56.05206,,,,441.0,15.15084886018089
2021-09-20T01:10:00+0900,m5stack-bme280-device-bme280,25.7568,64.74535,1013.331,,,,15.515183970187982
2021-09-20T01:13:00+0900,m5stack-bme280-device-sgp30,,,,139.0,416.0,,
2021-09-20T01:16:00+0900,m5stack-bme280-device-scd30,27.79005,56.55645,,,,447.0,15.171093394338683
2021-09-20T01:20:00+0900,m5stack-bme280-device-bme280,25.7228,64.91484,1013.327,,,,15.526253761799872
2021-09-20T01:23:00+0900,m5stack-bme280-device-sgp30,,,,184.0,441.0,,
2021-09-20T01:26:00+0900,m5stack-bme280-device-scd30,27.78812,56.60366,,,,459.0,15.182144322182827
2021-09-20T01:30:00+0900,m5stack-bme280-device-bme280,25.728,65.24527,1013.36,,,,15.609824225626069
2021-09-20T01:33:00+0900,m5stack-bme280-device-sgp30,,,,161.0,418.0,,
2021-09-20T01:36:00+0900,m5stack-bme280-device-scd30,27.731,57.03795,,,,459.0,15.250591540678744
2021-09-20T01:40:00+0900,m5stack-bme280-device-bme280,25.7184,65.74832,1013.335,,,,15.72173543339246
2021-09-20T01:43:00+0900,m5stack-bme280-device-sgp30,,,,185.0,438.0,,
2021-09-20T01:46:00+0900,m5stack-bme280-device-scd30,27.75237,57.21317,,,,459.0,15.31545309012162
2021-09-20T01:50:00+0900,m5stack-bme280-device-bme280,25.6492,66.07175,1013.359,,,,15.738033080092046
2021-09-20T01:53:00+0900,m5stack-bme280-device-sgp30,,,,163.0,411.0,,
2021-09-20T01:56:00+0900,m5stack-bme280-device-scd30,27.66973,57.36482,,,,445.0,15.286311373423382
2021-09-20T02:00:00+0900,m5stack-bme280-device-bme280,25.5812,66.4775,1013.372,,,,15.7745298898815
2021-09-20T02:03:00+0900,m5stack-bme280-device-sgp30,,,,165.0,423.0,,
2021-09-20T02:06:00+0900,m5stack-bme280-device-scd30,27.64006,57.45663,,,,456.0,15.285765666156117
2021-09-20T02:10:00+0900,m5stack-bme280-device-bme280,25.5068,66.94496,1013.325,,,,15.819406234120269
2021-09-20T02:13:00+0900,m5stack-bme280-device-sgp30,,,,146.0,404.0,,
2021-09-20T02:16:00+0900,m5stack-bme280-device-scd30,27.47896,58.08021,,,,449.0,15.315007350591909
2021-09-20T02:20:00+0900,m5stack-bme280-device-bme280,25.4308,67.87277,1013.37,,,,15.97049692374929
2021-09-20T02:23:00+0900,m5stack-bme280-device-sgp30,,,,134.0,400.0,,
2021-09-20T02:26:00+0900,m5stack-bme280-device-scd30,27.40968,58.62011,,,,443.0,15.39838189512253
2021-09-20T02:30:00+0900,m5stack-bme280-device-bme280,25.3172,68.8232,1013.414,,,,16.091305476052824
2021-09-20T02:33:00+0900,m5stack-bme280-device-sgp30,,,,124.0,400.0,,
2021-09-20T02:36:00+0900,m5stack-bme280-device-scd30,27.27868,59.08525,,,,435.0,15.408671241167688
2021-09-20T02:40:00+0900,m5stack-bme280-device-bme280,25.248,69.19211,1013.41,,,,16.114862992902772
2021-09-20T02:43:00+0900,m5stack-bme280-device-sgp30,,,,143.0,401.0,,
2021-09-20T02:46:00+0900,m5stack-bme280-device-scd30,27.2858,59.17375,,,,445.0,15.437823636984769
2021-09-20T02:50:00+0900,m5stack-bme280-device-bme280,25.3508,69.00941,1013.388,,,,16.165279805730943
2021-09-20T02:53:00+0900,m5stack-bme280-device-sgp30,,,,138.0,400.0,,
2021-09-20T02:56:00+0900,m5stack-bme280-device-scd30,27.28403,59.2386,,,,453.0,15.453230833817877
2021-09-20T03:00:00+0900,m5stack-bme280-device-bme280,25.3016,69.30371,1013.272,,,,16.18947684322812
2021-09-20T03:03:00+0900,m5stack-bme280-device-sgp30,,,,223.0,454.0,,
2021-09-20T03:06:00+0900,m5stack-bme280-device-scd30,27.33194,59.46299,,,,453.0,15.55287930330948
2021-09-20T03:10:00+0900,m5stack-bme280-device-bme280,25.2808,70.16309,1013.293,,,,16.371112177159556
2021-09-20T03:13:00+0900,m5stack-bme280-device-sgp30,,,,166.0,421.0,,
2021-09-20T03:16:00+0900,m5stack-bme280-device-scd30,27.28328,59.81106,,,,448.0,15.601918544380334
