measuredAt,sensorId,temperature,humidity,pressure,tvoc,eCo2,co2,absolute_humidity
2022-11-14T17:34:00+0900,m5stack-bme280-device-bme280,20.7688,50.73379,1012.902,,,,9.148871769433066
2022-11-14T17:37:00+0900,m5stack-bme280-device-sgp30,,,,22001.0,9148.0,,
2022-11-14T17:40:00+0900,m5stack-bme280-device-scd30,23.02603,46.86568,,,,1582.0,9.624872486184492
2022-11-14T17:44:00+0900,m5stack-bme280-device-bme280,20.7188,48.2473,1013.11,,,,8.675231819666566
2022-11-14T17:47:00+0900,m5stack-bme280-device-sgp30,,,,13909.0,1671.0,,
2022-11-14T17:50:00+0900,m5stack-bme280-device-scd30,23.03404,45.99118,,,,1184.0,9.44959601440752
2022-11-14T17:54:00+0900,m5stack-bme280-device-bme280,20.8508,49.18629,1013.25,,,,8.912164057145414
2022-11-14T17:57:00+0900,m5stack-bme280-device-sgp30,,,,11871.0,1620.0,,
2022-11-14T18:00:00+0900,m5stack-bme280-device-scd30,23.06431,46.19081,,,,1209.0,9.50702807777478
2022-11-14T18:04:00+0900,m5stack-bme280-device-bme280,20.8856,49.38613,1013.356,,,,8.966474344538561
2022-11-14T18:07:00+0900,m5stack-bme280-device-sgp30,,,,10382.0,1590.0,,
2022-11-14T18:10:00+0900,m5stack-bme280-device-scd30,23.01565,45.79434,,,,1134.0,9.399277020327125
2022-11-14T18:14:00+0900,m5stack-bme280-device-bme280,20.8356,49.16133,1013.374,,,,8.899781246088454
2022-11-14T18:17:00+0900,m5stack-bme280-device-sgp30,,,,12413.0,2405.0,,
2022-11-14T18:20:00+0900,m5stack-bme280-device-scd30,23.18284,46.11909,,,,1208.0,9.55667998113112
2022-11-14T18:24:00+0900,m5stack-bme280-device-bme280,20.8504,49.71828,1013.469,,,,9.008347138593066
2022-11-14T18:27:00+0900,m5stack-bme280-device-sgp30,,,,16834.0,3344.0,,
2022-11-14T18:30:00+0900,m5stack-bme280-device-scd30,23.21533,46.66324,,,,1322.0,9.687368470821376
2022-11-14T18:34:00+0900,m5stack-bme280-device-bme280,20.9644,50.68988,1013.441,,,,9.24537058793402
2022-11-14T18:37:00+0900,m5stack-bme280-device-sgp30,,,,15510.0,3298.0,,
2022-11-14T18:40:00+0900,m5stack-bme280-device-scd30,23.27527,46.96384,,,,1469.0,9.7831432112098
2022-11-14T18:44:00+0900,m5stack-bme280-device-bme280,20.9876,50.85336,1013.465,,,,9.287681059593709
2022-11-14T18:47:00+0900,m5stack-bme280-device-sgp30,,,,26587.0,4195.0,,
2022-11-14T18:50:00+0900,m5stack-bme280-device-scd30,23.30434,47.18119,,,,1489.0,9.84471423042346
2022-11-14T18:54:00+0900,m5stack-bme280-device-bme280,21.0612,51.12211,1013.506,,,,9.37670465234707
2022-11-14T18:57:00+0900,m5stack-bme280-device-sgp30,,,,36534.0,5411.0,,
2022-11-14T19:00:00+0900,m5stack-bme280-device-scd30,23.32526,47.23714,,,,1558.0,9.868143086228034
2022-11-14T19:04:00+0900,m5stack-bme280-device-bme280,20.9688,49.76648,1013.336,,,,9.079268539620651
2022-11-14T19:07:00+0900,m5stack-bme280-device-sgp30,,,,17882.0,3958.0,,
2022-11-14T19:10:00+0900,m5stack-bme280-device-scd30,23.26192,46.79845,,,,1502.0,9.741275940050317
2022-11-14T19:14:00+0900,m5stack-bme280-device-bme280,20.9836,50.6032,1013.201,,,,9.23984826644085
2022-11-14T19:17:00+0900,m5stack-bme280-device-sgp30,,,,46030.0,6221.0,,
2022-11-14T19:20:00+0900,m5stack-bme280-device-scd30,23.23595,47.11338,,,,1473.0,9.792323229970169
2022-11-14T19:24:00+0900,m5stack-bme280-device-bme280,20.9896,51.06695,1013.209,,,,9.327772604431038
2022-11-14T19:27:00+0900,m5stack-bme280-device-sgp30,,,,32847.0,4861.0,,
2022-11-14T19:30:00+0900,m5stack-bme280-device-scd30,23.24634,47.32513,,,,1519.0,9.842162202943694
2022-11-14T19:34:00+0900,m5stack-bme280-device-bme280,20.994,50.98289,1013.287,,,,9.314795719180225
2022-11-14T19:37:00+0900,m5stack-bme280-device-sgp30,,,,7124.0,1763.0,,
2022-11-14T19:40:00+0900,m5stack-bme280-device-scd30,22.78793,43.15194,,,,685.0,8.742395705498087
2022-11-14T19:44:00+0900,m5stack-bme280-device-bme280,20.3896,44.29773,1013.181,,,,7.813887328703177
2022-11-14T19:47:00+0900,m5stack-bme280-device-sgp30,,,,472.0,617.0,,
2022-11-14T19:50:00+0900,m5stack-bme280-device-scd30,22.14364,42.50844,,,,516.0,8.29962218880358
2022-11-14T19:54:00+0900,m5stack-bme280-device-bme280,19.9556,43.99867,1013.186,,,,7.566944484900074
2022-11-14T19:57:00+0900,m5stack-bme280-device-sgp30,,,,186.0,422.0,,
2022-11-14T20:00:00+0900,m5stack-bme280-device-scd30,21.8232,42.35077,,,,442.0,8.117708212949543
2022-11-14T20:04:00+0900,m5stack-bme280-device-bme280,19.644,44.08051,1013.158,,,,7.443949470268343
2022-11-14T20:07:00+0900,m5stack-bme280-device-sgp30,,,,115.0,400.0,,
2022-11-14T20:10:00+0900,m5stack-bme280-device-scd30,21.57263,42.50675,,,,422.0,8.03067039132426
2022-11-14T20:14:00+0900,m5stack-bme280-device-bme280,19.4396,44.37109,1013.256,,,,7.403691821624768
2022-11-14T20:17:00+0900,m5stack-bme280-device-sgp30,,,,83.0,400.0,,
2022-11-14T20:20:00+0900,m5stack-bme280-device-scd30,21.38898,42.73698,,,,412.0,7.98892673670725
2022-11-14T20:24:00+0900,m5stack-bme280-device-bme280,19.2648,44.66785,1013.134,,,,7.377043499254954
2022-11-14T20:27:00+0900,m5stack-bme280-device-sgp30,,,,65.0,400.0,,
2022-11-14T20:30:00+0900,m5stack-bme280-device-scd30,21.22949,42.96265,,,,415.0,7.957330344785127
2022-11-14T20:34:00+0900,m5stack-bme280-device-bme280,19.0824,45.06965,1013.078,,,,7.363936616415773
2022-11-14T20:37:00+0900,m5stack-bme280-device-sgp30,,,,59.0,400.0,,
2022-11-14T20:40:00+0900,m5stack-bme280-device-scd30,21.06008,43.61377,,,,445.0,7.999022030338633
2022-11-14T20:44:00+0900,m5stack-bme280-device-bme280,19.2576,47.14785,1012.892,,,,7.783327614002306
2022-11-14T20:47:00+0900,m5stack-bme280-device-sgp30,,,,443.0,660.0,,
2022-11-14T20:50:00+0900,m5stack-bme280-device-scd30,21.50024,45.48959,,,,742.0,8.558346192230006
2022-11-14T20:54:00+0900,m5stack-bme280-device-bme280,19.5392,48.69395,1012.766,,,,8.172639032093333
2022-11-14T20:57:00+0900,m5stack-bme280-device-sgp30,,,,890.0,835.0,,
2022-11-14T21:00:00+0900,m5stack-bme280-device-scd30,21.83833,46.11138,,,,767.0,8.846244672845538
2022-11-14T21:04:00+0900,m5stack-bme280-device-bme280,19.7704,49.08168,1012.719,,,,8.35012540682848
2022-11-14T21:07:00+0900,m5stack-bme280-device-sgp30,,,,1332.0,1101.0,,
2022-11-14T21:10:00+0900,m5stack-bme280-device-scd30,22.10773,46.13597,,,,878.0,8.989303692767447
2022-11-14T21:14:00+0900,m5stack-bme280-device-bme280,19.9712,49.20832,1012.699,,,,8.47063066792744
2022-11-14T21:17:00+0900,m5stack-bme280-device-sgp30,,,,1929.0,1280.0,,
2022-11-14T21:20:00+0900,m5stack-bme280-device-scd30,22.2368,46.21735,,,,983.0,9.07221757393624
2022-11-14T21:24:00+0900,m5stack-bme280-device-bme280,20.022,49.68125,1012.721,,,,8.577477854799696
2022-11-14T21:27:00+0900,m5stack-bme280-device-sgp30,,,,2405.0,1442.0,,
2022-11-14T21:30:00+0900,m5stack-bme280-device-scd30,22.31054,46.54295,,,,1117.0,9.174906954626495
2022-11-14T21:34:00+0900,m5stack-bme280-device-bme280,20.1036,49.63207,1012.347,,,,8.609944308542074
2022-11-14T21:37:00+0900,m5stack-bme280-device-sgp30,,,,60000.0,8377.0,,
2022-11-14T21:40:00+0900,m5stack-bme280-device-scd30,22.43233,46.26957,,,,1173.0,9.184992469984213
2022-11-14T21:44:00+0900,m5stack-bme280-device-bme280,20.0872,50.01078,1012.417,,,,8.66733305846753
2022-11-14T21:47:00+0900,m5stack-bme280-device-sgp30,,,,52681.0,5495.0,,
2022-11-14T21:50:00+0900,m5stack-bme280-device-scd30,22.26366,45.34259,,,,975.0,8.914250813600985
2022-11-14T21:54:00+0900,m5stack-bme280-device-bme280,19.8316,49.12055,1012.483,,,,8.38673924415591
2022-11-14T21:57:00+0900,m5stack-bme280-device-sgp30,,,,48261.0,5462.0,,
2022-11-14T22:00:00+0900,m5stack-bme280-device-scd30,22.08741,46.18047,,,,1151.0,8.987464647253772
2022-11-14T22:04:00+0900,m5stack-bme280-device-bme280,19.7756,49.71,1012.53,,,,8.459595718326762
2022-11-14T22:07:00+0900,m5stack-bme280-device-sgp30,,,,44297.0,4981.0,,
2022-11-14T22:10:00+0900,m5stack-bme280-device-scd30,21.90969,46.74962,,,,1193.0,9.005637047002368
2022-11-14T22:14:00+0900,m5stack-bme280-device-bme280,19.6368,50.58379,1012.371,,,,8.538564073268855
2022-11-14T22:17:00+0900,m5stack-bme280-device-sgp30,,,,54132.0,6623.0,,
2022-11-14T22:20:00+0900,m5stack-bme280-device-scd30,21.7922,47.24231,,,,1279.0,9.03914153449961
