measuredAt,sensorId,temperature,humidity,pressure,tvoc,eCo2,co2,absolute_humidity
2021-08-30T00:02:00+0900,m5stack-bme280-device-sgp30,,,,8546.0,2273.0,,
2021-08-30T00:05:00+0900,m5stack-bme280-device-scd30,29.39284,45.81816,,,,1746.0,13.417006868398246
2021-08-30T00:09:00+0900,m5stack-bme280-device-bme280,28.1884,49.28406,1012.317,,,,13.512934550155991
2021-08-30T00:12:00+0900,m5stack-bme280-device-sgp30,,,,7894.0,2289.0,,
2021-08-30T00:15:00+0900,m5stack-bme280-device-scd30,30.19586,47.54978,,,,1736.0,14.543643375463898
2021-08-30T00:19:00+0900,m5stack-bme280-device-bme280,28.1796,48.51047,1012.413,,,,13.294405985401877
2021-08-30T00:22:00+0900,m5stack-bme280-device-sgp30,,,,6736.0,1969.0,,
2021-08-30T00:25:00+0900,m5stack-bme280-device-scd30,29.50336,44.50023,,,,1686.0,13.109593422841051
2021-08-30T00:29:00+0900,m5stack-bme280-device-bme280,27.5448,45.36895,1012.408,,,,12.006738907488613
2021-08-30T00:32:00+0900,m5stack-bme280-device-sgp30,,,,6278.0,1849.0,,
2021-08-30T00:35:00+0900,m5stack-bme280-device-scd30,29.02715,44.497,,,,1652.0,12.773223952369468
2021-08-30T00:39:00+0900,m5stack-bme280-device-bme280,27.2852,46.35754,1012.417,,,,12.093805103209522
2021-08-30T00:42:00+0900,m5stack-bme280-device-sgp30,,,,6157.0,1845.0,,
2021-08-30T00:45:00+0900,m5stack-bme280-device-scd30,29.41806,47.36388,,,,1637.0,13.88867493928865
2021-08-30T00:49:00+0900,m5stack-bme280-device-bme280,27.9988,51.91008,1012.445,,,,14.085517840751049
2021-08-30T00:52:00+0900,m5stack-bme280-device-sgp30,,,,5997.0,1848.0,,
2021-08-30T00:55:00+0900,m5stack-bme280-device-scd30,30.0039,48.98741,,,,1623.0,14.828595908562283
2021-08-30T00:59:00+0900,m5stack-bme280-device-bme280,27.9228,50.39605,1012.407,,,,13.617680368835776
2021-08-30T01:02:00+0900,m5stack-bme280-device-sgp30,,,,5381.0,1664.0,,
2021-08-30T01:05:00+0900,m5stack-bme280-device-scd30,29.30071,45.15347,,,,1587.0,13.156264836023167
2021-08-30T01:09:00+0900,m5stack-bme280-device-bme280,27.3064,49.18492,1012.383,,,,12.846454213536164
