measuredAt,sensorId,temperature,humidity,pressure,tvoc,eCo2,co2,absolute_humidity
2021-07-26T00:03:00+0900,m5stack-bme280-device-bme280,27.8368,51.42707,1007.318,,,,13.830692384624106
2021-07-26T00:06:00+0900,m5stack-bme280-device-sgp30,,,,8325.0,3456.0,,
2021-07-26T00:09:00+0900,m5stack-bme280-device-scd30,29.54801,47.16907,,,,1514.0,13.92956912188407
2021-07-26T00:13:00+0900,m5stack-bme280-device-bme280,27.746,51.93969,1007.156,,,,13.898913865796391
2021-07-26T00:16:00+0900,m5stack-bme280-device-sgp30,,,,7976.0,3324.0,,
2021-07-26T00:19:00+0900,m5stack-bme280-device-scd30,29.52161,47.45221,,,,1519.0,13.993102513590774
2021-07-26T00:23:00+0900,m5stack-bme280-device-bme280,27.6312,52.20695,1007.112,,,,13.882360368838492
2021-07-26T00:26:00+0900,m5stack-bme280-device-sgp30,,,,7421.0,3177.0,,
2021-07-26T00:29:00+0900,m5stack-bme280-device-scd30,29.74503,47.35073,,,,1538.0,14.133540702437244
2021-07-26T00:33:00+0900,m5stack-bme280-device-bme280,27.6388,48.60863,1007.042,,,,12.930945242979767
2021-07-26T00:36:00+0900,m5stack-bme280-device-sgp30,,,,7138.0,3023.0,,
2021-07-26T00:39:00+0900,m5stack-bme280-device-scd30,29.72025,47.23494,,,,1621.0,14.080042278610463
2021-07-26T00:43:00+0900,m5stack-bme280-device-bme280,27.6808,49.31195,1007.025,,,,13.148436488903323
2021-07-26T00:46:00+0900,m5stack-bme280-device-sgp30,,,,6757.0,2796.0,,
2021-07-26T00:49:00+0900,m5stack-bme280-device-scd30,29.5403,46.96969,,,,1602.0,13.864882416089404
2021-07-26T00:53:00+0900,m5stack-bme280-device-bme280,27.6252,50.71883,1007.056,,,,13.482195059165493
2021-07-26T00:56:00+0900,m5stack-bme280-device-sgp30,,,,6621.0,2688.0,,
2021-07-26T00:59:00+0900,m5stack-bme280-device-scd30,29.45797,46.5883,,,,1594.0,13.690919114400913
2021-07-26T01:03:00+0900,m5stack-bme280-device-bme280,27.6076,51.60305,1007.013,,,,13.703940047218325
2021-07-26T01:06:00+0900,m5stack-bme280-device-sgp30,,,,10606.0,3994.0,,
2021-07-26T01:09:00+0900,m5stack-bme280-device-scd30,29.73078,47.68736,,,,1598.0,14.223023365947064
2021-07-26T01:13:00+0900,m5stack-bme280-device-bme280,27.5072,51.21621,1007.011,,,,13.52611584115431
2021-07-26T01:16:00+0900,m5stack-bme280-device-sgp30,,,,13512.0,4813.0,,
2021-07-26T01:19:00+0900,m5stack-bme280-device-scd30,29.75467,48.59763,,,,1602.0,14.513308614134228
2021-07-26T01:23:00+0900,m5stack-bme280-device-bme280,27.574,51.98473,1007.01,,,,13.779752337758682
2021-07-26T01:26:00+0900,m5stack-bme280-device-sgp30,,,,11913.0,4351.0,,
2021-07-26T01:29:00+0900,m5stack-bme280-device-scd30,29.72603,48.64655,,,,1590.0,14.505369521298784
2021-07-26T01:33:00+0900,m5stack-bme280-device-bme280,27.6644,53.43375,1006.926,,,,14.234597216201616
2021-07-26T01:36:00+0900,m5stack-bme280-device-sgp30,,,,11155.0,4106.0,,
2021-07-26T01:39:00+0900,m5stack-bme280-device-scd30,29.70156,48.57975,,,,1614.0,14.466235884438278
2021-07-26T01:43:00+0900,m5stack-bme280-device-bme280,27.748,54.41293,1006.796,,,,14.562349497199204
2021-07-26T01:46:00+0900,m5stack-bme280-device-sgp30,,,,10882.0,4013.0,,
2021-07-26T01:49:00+0900,m5stack-bme280-device-scd30,29.8198,48.52922,,,,1614.0,14.544144604411995
2021-07-26T01:53:00+0900,m5stack-bme280-device-bme280,27.5952,53.36008,1006.789,,,,14.160862012475338
2021-07-26T01:56:00+0900,m5stack-bme280-device-sgp30,,,,10667.0,3911.0,,
2021-07-26T01:59:00+0900,m5stack-bme280-device-scd30,29.83523,49.2858,,,,1626.0,14.783248688023091
2021-07-26T02:03:00+0900,m5stack-bme280-device-bme280,27.5504,52.53941,1006.744,,,,13.908671527433851
2021-07-26T02:06:00+0900,m5stack-bme280-device-sgp30,,,,10260.0,3758.0,,
2021-07-26T02:09:00+0900,m5stack-bme280-device-scd30,29.78672,49.54902,,,,1632.0,14.82317187187294
2021-07-26T02:13:00+0900,m5stack-bme280-device-bme280,27.596,53.14285,1006.722,,,,14.103834835671664
2021-07-26T02:16:00+0900,m5stack-bme280-device-sgp30,,,,9537.0,3540.0,,
2021-07-26T02:19:00+0900,m5stack-bme280-device-scd30,29.71847,49.00343,,,,1642.0,14.605792870978348
2021-07-26T02:23:00+0900,m5stack-bme280-device-bme280,27.7472,54.83684,1006.778,,,,14.675152643215604
2021-07-26T02:26:00+0900,m5stack-bme280-device-sgp30,,,,9270.0,3444.0,,
2021-07-26T02:29:00+0900,m5stack-bme280-device-scd30,29.82158,48.80286,,,,1634.0,14.62756535972614
2021-07-26T02:33:00+0900,m5stack-bme280-device-bme280,27.4992,53.84707,1006.675,,,,14.21464689274196
2021-07-26T02:36:00+0900,m5stack-bme280-device-sgp30,,,,13848.0,4788.0,,
2021-07-26T02:39:00+0900,m5stack-bme280-device-scd30,29.4418,48.66833,,,,1633.0,14.289613310385738
2021-07-26T02:43:00+0900,m5stack-bme280-device-bme280,27.3684,54.87926,1006.652,,,,14.382912706383411
2021-07-26T02:46:00+0900,m5stack-bme280-device-sgp30,,,,12279.0,4325.0,,
2021-07-26T02:49:00+0900,m5stack-bme280-device-scd30,29.23766,48.7292,,,,1628.0,14.149476056005453
2021-07-26T02:53:00+0900,m5stack-bme280-device-bme280,27.1544,53.33863,1006.741,,,,13.81477795397929
2021-07-26T02:56:00+0900,m5stack-bme280-device-sgp30,,,,15176.0,5399.0,,
2021-07-26T02:59:00+0900,m5stack-bme280-device-scd30,29.4142,50.28212,,,,1627.0,14.74130660093621
2021-07-26T03:03:00+0900,m5stack-bme280-device-bme280,27.5664,55.84422,1006.687,,,,14.79659746485765
2021-07-26T03:06:00+0900,m5stack-bme280-device-sgp30,,,,14556.0,5178.0,,
2021-07-26T03:09:00+0900,m5stack-bme280-device-scd30,29.17981,49.32353,,,,1615.0,14.277005299624848
2021-07-26T03:13:00+0900,m5stack-bme280-device-bme280,27.2396,55.41418,1006.738,,,,14.420123739254764
2021-07-26T03:16:00+0900,m5stack-bme280-device-sgp30,,,,14801.0,5154.0,,
2021-07-26T03:19:00+0900,m5stack-bme280-device-scd30,29.3608,50.75751,,,,1627.0,14.837527992783537
2021-07-26T03:23:00+0900,m5stack-bme280-device-bme280,27.4624,57.14297,1006.726,,,,15.054106823396182
2021-07-26T03:26:00+0900,m5stack-bme280-device-sgp30,,,,14040.0,4830.0,,
2021-07-26T03:29:00+0900,m5stack-bme280-device-scd30,29.51775,51.56665,,,,1640.0,15.20321438901376
2021-07-26T03:33:00+0900,m5stack-bme280-device-bme280,27.4572,56.58207,1006.776,,,,14.902062888547793
2021-07-26T03:36:00+0900,m5stack-bme280-device-sgp30,,,,13752.0,4725.0,,
2021-07-26T03:39:00+0900,m5stack-bme280-device-scd30,29.58673,52.33002,,,,1661.0,15.486186318823272
2021-07-26T03:43:00+0900,m5stack-bme280-device-bme280,27.5752,57.74957,1006.832,,,,15.308869062534905
2021-07-26T03:46:00+0900,m5stack-bme280-device-sgp30,,,,16211.0,6026.0,,
2021-07-26T03:49:00+0900,m5stack-bme280-device-scd30,29.51196,51.99992,,,,1680.0,15.326132126032784
2021-07-26T03:53:00+0900,m5stack-bme280-device-bme280,27.4632,57.15527,1006.846,,,,15.05801195510046
2021-07-26T03:56:00+0900,m5stack-bme280-device-sgp30,,,,15654.0,5673.0,,
2021-07-26T03:59:00+0900,m5stack-bme280-device-scd30,29.60112,52.57145,,,,1676.0,15.569793568604728
2021-07-26T04:03:00+0900,m5stack-bme280-device-bme280,27.592,58.1575,1006.809,,,,15.43129361360686
2021-07-26T04:06:00+0900,m5stack-bme280-device-sgp30,,,,14720.0,4951.0,,
2021-07-26T04:09:00+0900,m5stack-bme280-device-scd30,29.47325,51.70314,,,,1678.0,15.206641832792304
2021-07-26T04:13:00+0900,m5stack-bme280-device-bme280,27.4916,58.3057,1006.818,,,,15.385191953886483
2021-07-26T04:16:00+0900,m5stack-bme280-device-sgp30,,,,16403.0,6051.0,,
2021-07-26T04:19:00+0900,m5stack-bme280-device-scd30,29.53466,52.27898,,,,1679.0,15.427393362411422
2021-07-26T04:23:00+0900,m5stack-bme280-device-bme280,27.596,59.15824,1006.744,,,,15.700287924509592
2021-07-26T04:26:00+0900,m5stack-bme280-device-sgp30,,,,15569.0,5469.0,,
2021-07-26T04:29:00+0900,m5stack-bme280-device-scd30,29.51567,51.56776,,,,1683.0,15.20182373228142
2021-07-26T04:33:00+0900,m5stack-bme280-device-bme280,27.4552,58.31574,1006.611,,,,15.356965813433886
2021-07-26T04:36:00+0900,m5stack-bme280-device-sgp30,,,,14966.0,4975.0,,
2021-07-26T04:39:00+0900,m5stack-bme280-device-scd30,29.5133,52.11538,,,,1682.0,15.36128035908147
2021-07-26T04:43:00+0900,m5stack-bme280-device-bme280,27.5552,59.03883,1006.606,,,,15.63338983625358
2021-07-26T04:46:00+0900,m5stack-bme280-device-sgp30,,,,14388.0,4787.0,,
2021-07-26T04:49:00+0900,m5stack-bme280-device-scd30,29.32475,51.07151,,,,1681.0,14.900068104103736
2021-07-26T04:53:00+0900,m5stack-bme280-device-bme280,27.2724,57.65746,1006.582,,,,15.031104647669704
2021-07-26T04:56:00+0900,m5stack-bme280-device-sgp30,,,,13909.0,4598.0,,
2021-07-26T04:59:00+0900,m5stack-bme280-device-scd30,29.39892,51.76536,,,,1671.0,15.163547620123746
2021-07-26T05:03:00+0900,m5stack-bme280-device-bme280,27.4136,58.5841,1006.617,,,,15.392253305475927
2021-07-26T05:06:00+0900,m5stack-bme280-device-sgp30,,,,30760.0,9142.0,,
2021-07-26T05:09:00+0900,m5stack-bme280-device-scd30,29.50603,52.17717,,,,1676.0,15.373419886026308
2021-07-26T05:13:00+0900,m5stack-bme280-device-bme280,27.452,58.88512,1006.518,,,,15.504169063599564
2021-07-26T05:16:00+0900,m5stack-bme280-device-sgp30,,,,33063.0,9555.0,,
2021-07-26T05:19:00+0900,m5stack-bme280-device-scd30,29.46138,52.50541,,,,1668.0,15.432642146170382
2021-07-26T05:23:00+0900,m5stack-bme280-device-bme280,27.4872,59.54367,1006.54,,,,15.708042839608456
2021-07-26T05:26:00+0900,m5stack-bme280-device-sgp30,,,,29527.0,8707.0,,
2021-07-26T05:29:00+0900,m5stack-bme280-device-scd30,29.50855,52.64359,,,,1660.0,15.512969130233133
2021-07-26T05:33:00+0900,m5stack-bme280-device-bme280,27.4148,58.06937,1006.556,,,,15.258025035772963
2021-07-26T05:36:00+0900,m5stack-bme280-device-sgp30,,,,27036.0,8045.0,,
2021-07-26T05:39:00+0900,m5stack-bme280-device-scd30,29.48586,53.13348,,,,1660.0,15.638037979064451
2021-07-26T05:43:00+0900,m5stack-bme280-device-bme280,27.4972,59.37512,1006.521,,,,15.672222219847038
2021-07-26T05:46:00+0900,m5stack-bme280-device-sgp30,,,,28228.0,8466.0,,
2021-07-26T05:49:00+0900,m5stack-bme280-device-scd30,29.34566,52.06723,,,,1664.0,15.207858369528156
2021-07-26T05:53:00+0900,m5stack-bme280-device-bme280,27.382,58.9084,1006.435,,,,15.450479993019448
2021-07-26T05:56:00+0900,m5stack-bme280-device-sgp30,,,,27422.0,8091.0,,
2021-07-26T05:59:00+0900,m5stack-bme280-device-scd30,29.3832,52.66105,,,,1655.0,15.41273967958253
2021-07-26T06:03:00+0900,m5stack-bme280-device-bme280,27.446,59.69758,1006.409,,,,15.712881968613509
2021-07-26T06:06:00+0900,m5stack-bme280-device-sgp30,,,,24279.0,7345.0,,
2021-07-26T06:09:00+0900,m5stack-bme280-device-scd30,29.432,52.91061,,,,1657.0,15.526924433721089
2021-07-26T06:13:00+0900,m5stack-bme280-device-bme280,27.36,58.4741,1006.329,,,,15.31795117835809
2021-07-26T06:16:00+0900,m5stack-bme280-device-sgp30,,,,21990.0,6727.0,,
2021-07-26T06:19:00+0900,m5stack-bme280-device-scd30,29.47666,53.27403,,,,1665.0,15.671567220976232
2021-07-26T06:23:00+0900,m5stack-bme280-device-bme280,27.4168,58.73883,1006.351,,,,15.435633171821229
2021-07-26T06:26:00+0900,m5stack-bme280-device-sgp30,,,,19407.0,6130.0,,
2021-07-26T06:29:00+0900,m5stack-bme280-device-scd30,29.49624,52.50592,,,,1663.0,15.46205552930291
2021-07-26T06:33:00+0900,m5stack-bme280-device-bme280,27.3384,59.28402,1006.299,,,,15.511602703418571
2021-07-26T06:36:00+0900,m5stack-bme280-device-sgp30,,,,16291.0,5349.0,,
2021-07-26T06:39:00+0900,m5stack-bme280-device-scd30,29.43497,52.545,,,,1668.0,15.422123825416744
2021-07-26T06:43:00+0900,m5stack-bme280-device-bme280,27.382,58.74656,1006.294,,,,15.40803263946596
2021-07-26T06:46:00+0900,m5stack-bme280-device-sgp30,,,,15468.0,4890.0,,
2021-07-26T06:49:00+0900,m5stack-bme280-device-scd30,29.39254,53.01378,,,,1675.0,15.523858812648506
2021-07-26T06:53:00+0900,m5stack-bme280-device-bme280,27.3928,58.42969,1006.278,,,,15.334065326749492
2021-07-26T06:56:00+0900,m5stack-bme280-device-sgp30,,,,14432.0,4514.0,,
2021-07-26T06:59:00+0900,m5stack-bme280-device-scd30,29.1264,52.67368,,,,1668.0,15.202429322296798
2021-07-26T07:03:00+0900,m5stack-bme280-device-bme280,27.3352,59.42648,1006.274,,,,15.54612910984969
2021-07-26T07:06:00+0900,m5stack-bme280-device-sgp30,,,,14126.0,4461.0,,
2021-07-26T07:09:00+0900,m5stack-bme280-device-scd30,29.48126,53.38313,,,,1677.0,15.707587101448352
2021-07-26T07:13:00+0900,m5stack-bme280-device-bme280,27.1624,56.74074,1006.159,,,,14.702433348539357
2021-07-26T07:16:00+0900,m5stack-bme280-device-sgp30,,,,13105.0,4129.0,,
2021-07-26T07:19:00+0900,m5stack-bme280-device-scd30,29.03917,53.57471,,,,1682.0,15.389137023344304
2021-07-26T07:23:00+0900,m5stack-bme280-device-bme280,27.4976,63.27492,1006.176,,,,16.701953456204905
2021-07-26T07:26:00+0900,m5stack-bme280-device-sgp30,,,,5432.0,2361.0,,
2021-07-26T07:29:00+0900,m5stack-bme280-device-scd30,29.62738,59.09322,,,,789.0,17.526277174589612
2021-07-26T07:33:00+0900,m5stack-bme280-device-bme280,27.8212,74.98199,1006.092,,,,20.148201338616893
2021-07-26T07:36:00+0900,m5stack-bme280-device-sgp30,,,,67.0,400.0,,
2021-07-26T07:39:00+0900,m5stack-bme280-device-scd30,29.89961,61.37924,,,,474.0,18.475003627841375
2021-07-26T07:43:00+0900,m5stack-bme280-device-bme280,27.9368,73.11586,1006.079,,,,19.77208898619853
2021-07-26T07:46:00+0900,m5stack-bme280-device-sgp30,,,,173.0,467.0,,
2021-07-26T07:49:00+0900,m5stack-bme280-device-scd30,30.05775,61.39247,,,,461.0,18.63786919762093
2021-07-26T07:53:00+0900,m5stack-bme280-device-bme280,28.1024,75.0659,1006.015,,,,20.484980202796567
2021-07-26T07:56:00+0900,m5stack-bme280-device-sgp30,,,,268.0,528.0,,
2021-07-26T07:59:00+0900,m5stack-bme280-device-scd30,30.23933,61.62974,,,,451.0,18.89449307268677
2021-07-26T08:03:00+0900,m5stack-bme280-device-bme280,28.2212,74.20688,1005.939,,,,20.383042283199305
2021-07-26T08:06:00+0900,m5stack-bme280-device-sgp30,,,,302.0,528.0,,
2021-07-26T08:09:00+0900,m5stack-bme280-device-scd30,30.31084,61.15375,,,,468.0,18.82112384936905
2021-07-26T08:13:00+0900,m5stack-bme280-device-bme280,28.2212,73.25086,1005.838,,,,20.120444043203445
2021-07-26T08:16:00+0900,m5stack-bme280-device-sgp30,,,,154.0,410.0,,
2021-07-26T08:19:00+0900,m5stack-bme280-device-scd30,30.29927,62.00867,,,,447.0,19.07231964845352
2021-07-26T08:23:00+0900,m5stack-bme280-device-bme280,28.3708,79.71637,1005.805,,,,22.076737935087408
2021-07-26T08:26:00+0900,m5stack-bme280-device-sgp30,,,,96.0,407.0,,
2021-07-26T08:29:00+0900,m5stack-bme280-device-scd30,30.44554,63.42595,,,,426.0,19.662869624742147
2021-07-26T08:33:00+0900,m5stack-bme280-device-bme280,28.6268,77.61441,1005.772,,,,21.798002468774754
2021-07-26T08:36:00+0900,m5stack-bme280-device-sgp30,,,,104.0,403.0,,
2021-07-26T08:39:00+0900,m5stack-bme280-device-scd30,30.67,62.83044,,,,421.0,19.715345020530155
2021-07-26T08:43:00+0900,m5stack-bme280-device-bme280,29.0152,74.81289,1005.731,,,,21.461655330845037
2021-07-26T08:46:00+0900,m5stack-bme280-device-sgp30,,,,65.0,400.0,,
2021-07-26T08:49:00+0900,m5stack-bme280-device-scd30,30.74447,61.88473,,,,421.0,19.49660869164148
2021-07-26T08:53:00+0900,m5stack-bme280-device-bme280,28.9696,73.47269,1005.648,,,,21.02483266407533
2021-07-26T08:56:00+0900,m5stack-bme280-device-sgp30,,,,168.0,448.0,,
2021-07-26T08:59:00+0900,m5stack-bme280-device-scd30,30.98836,61.20444,,,,419.0,19.53684421731325
2021-07-26T09:03:00+0900,m5stack-bme280-device-bme280,29.018,73.23207,1005.574,,,,21.011371853622784
2021-07-26T09:06:00+0900,m5stack-bme280-device-sgp30,,,,96.0,400.0,,
2021-07-26T09:09:00+0900,m5stack-bme280-device-scd30,30.94282,61.07822,,,,420.0,19.448902181604225
2021-07-26T09:13:00+0900,m5stack-bme280-device-bme280,29.028,72.55981,1005.519,,,,20.82984610623071
2021-07-26T09:16:00+0900,m5stack-bme280-device-sgp30,,,,105.0,411.0,,
2021-07-26T09:19:00+0900,m5stack-bme280-device-scd30,31.08375,60.44896,,,,426.0,19.394797413687915
2021-07-26T09:23:00+0900,m5stack-bme280-device-bme280,29.2252,71.35746,1005.564,,,,20.70598243855198
2021-07-26T09:26:00+0900,m5stack-bme280-device-sgp30,,,,117.0,412.0,,
2021-07-26T09:29:00+0900,m5stack-bme280-device-scd30,31.21281,60.09081,,,,420.0,19.413873421129395
2021-07-26T09:33:00+0900,m5stack-bme280-device-bme280,29.2392,70.90113,1005.435,,,,20.589255621399428
2021-07-26T09:36:00+0900,m5stack-bme280-device-sgp30,,,,156.0,437.0,,
2021-07-26T09:39:00+0900,m5stack-bme280-device-scd30,31.26074,60.14354,,,,427.0,19.48091619189559
2021-07-26T09:43:00+0900,m5stack-bme280-device-bme280,29.2564,71.45902,1005.376,,,,20.77070274579465
2021-07-26T09:46:00+0900,m5stack-bme280-device-sgp30,,,,133.0,432.0,,
2021-07-26T09:49:00+0900,m5stack-bme280-device-scd30,31.28002,60.0129,,,,421.0,19.458703866004107
2021-07-26T09:53:00+0900,m5stack-bme280-device-bme280,29.2924,71.59817,1005.354,,,,20.851965818886622
2021-07-26T09:56:00+0900,m5stack-bme280-device-sgp30,,,,111.0,413.0,,
2021-07-26T09:59:00+0900,m5stack-bme280-device-scd30,31.30584,60.12531,,,,425.0,19.52215240143344
2021-07-26T10:03:00+0900,m5stack-bme280-device-bme280,29.4216,70.95985,1005.2,,,,20.81180817972533
2021-07-26T10:06:00+0900,m5stack-bme280-device-sgp30,,,,130.0,430.0,,
2021-07-26T10:09:00+0900,m5stack-bme280-device-scd30,31.40345,59.81581,,,,426.0,19.523496928351644
2021-07-26T10:13:00+0900,m5stack-bme280-device-bme280,29.528,70.09019,1005.187,,,,20.6759544141744
2021-07-26T10:16:00+0900,m5stack-bme280-device-sgp30,,,,130.0,408.0,,
2021-07-26T10:19:00+0900,m5stack-bme280-device-scd30,31.45671,59.53115,,,,418.0,19.48607973674222
2021-07-26T10:23:00+0900,m5stack-bme280-device-bme280,29.5656,69.49856,1005.172,,,,20.54334067514055
2021-07-26T10:26:00+0900,m5stack-bme280-device-sgp30,,,,163.0,441.0,,
2021-07-26T10:29:00+0900,m5stack-bme280-device-scd30,31.59052,59.00718,,,,429.0,19.45336244279907
2021-07-26T10:33:00+0900,m5stack-bme280-device-bme280,29.6728,68.46945,1005.074,,,,20.357264424676064
2021-07-26T10:36:00+0900,m5stack-bme280-device-sgp30,,,,143.0,430.0,,
2021-07-26T10:39:00+0900,m5stack-bme280-device-scd30,31.6684,58.55484,,,,423.0,19.384786938806208
2021-07-26T10:43:00+0900,m5stack-bme280-device-bme280,29.8012,67.34605,1005.121,,,,20.16318468325584
2021-07-26T10:46:00+0900,m5stack-bme280-device-sgp30,,,,145.0,414.0,,
2021-07-26T10:49:00+0900,m5stack-bme280-device-scd30,31.67938,57.881,,,,426.0,19.17295863494229
2021-07-26T10:53:00+0900,m5stack-bme280-device-bme280,29.8244,66.60598,1005.065,,,,19.966703882313418
2021-07-26T10:56:00+0900,m5stack-bme280-device-sgp30,,,,199.0,483.0,,
2021-07-26T10:59:00+0900,m5stack-bme280-device-scd30,31.87461,57.46002,,,,425.0,19.233007379191488
2021-07-26T11:03:00+0900,m5stack-bme280-device-bme280,29.9172,65.97672,1005.081,,,,19.877764271771177
2021-07-26T11:06:00+0900,m5stack-bme280-device-sgp30,,,,143.0,431.0,,
2021-07-26T11:09:00+0900,m5stack-bme280-device-scd30,31.87773,57.23572,,,,421.0,19.161119948713424
2021-07-26T11:13:00+0900,m5stack-bme280-device-bme280,29.922,66.2577,1004.999,,,,19.967609624308636
2021-07-26T11:16:00+0900,m5stack-bme280-device-sgp30,,,,121.0,412.0,,
2021-07-26T11:19:00+0900,m5stack-bme280-device-scd30,31.82714,57.78859,,,,424.0,19.29403576602162
2021-07-26T11:23:00+0900,m5stack-bme280-device-bme280,29.9668,66.88727,1005.019,,,,20.20629948691542
2021-07-26T11:26:00+0900,m5stack-bme280-device-sgp30,,,,260.0,521.0,,
2021-07-26T11:29:00+0900,m5stack-bme280-device-scd30,32.02089,57.68628,,,,427.0,19.45998661956001
2021-07-26T11:33:00+0900,m5stack-bme280-device-bme280,30.044,67.47492,1004.887,,,,20.46917895932196
2021-07-26T11:36:00+0900,m5stack-bme280-device-sgp30,,,,154.0,440.0,,
2021-07-26T11:39:00+0900,m5stack-bme280-device-scd30,32.01421,58.17897,,,,415.0,19.619203448892648
2021-07-26T11:43:00+0900,m5stack-bme280-device-bme280,30.0364,68.19566,1004.81,,,,20.679316320207565
2021-07-26T11:46:00+0900,m5stack-bme280-device-sgp30,,,,180.0,479.0,,
2021-07-26T11:49:00+0900,m5stack-bme280-device-scd30,32.03602,58.57824,,,,415.0,19.77682619591559
2021-07-26T11:53:00+0900,m5stack-bme280-device-bme280,30.098,68.27976,1004.721,,,,20.773935131009843
2021-07-26T11:56:00+0900,m5stack-bme280-device-sgp30,,,,186.0,469.0,,
2021-07-26T11:59:00+0900,m5stack-bme280-device-scd30,32.19609,58.34732,,,,421.0,19.867559766759012
2021-07-26T12:03:00+0900,m5stack-bme280-device-bme280,30.4304,67.07258,1004.604,,,,20.776395278916773
2021-07-26T12:06:00+0900,m5stack-bme280-device-sgp30,,,,175.0,449.0,,
2021-07-26T12:09:00+0900,m5stack-bme280-device-scd30,32.44161,57.76944,,,,423.0,19.929362936732343
2021-07-26T12:13:00+0900,m5stack-bme280-device-bme280,30.7092,65.61414,1004.457,,,,20.632337686734424
2021-07-26T12:16:00+0900,m5stack-bme280-device-sgp30,,,,303.0,536.0,,
