measuredAt,sensorId,temperature,humidity,pressure,tvoc,eCo2,co2,absolute_humidity
2022-04-04T00:03:00+0900,m5stack-bme280-device-bme280,21.1632,41.82883,1024.626,,,,7.717641172646782
2022-04-04T00:06:00+0900,m5stack-bme280-device-sgp30,,,,1761.0,940.0,,
2022-04-04T00:09:00+0900,m5stack-bme280-device-scd30,23.93365,38.7664,,,,1319.0,8.383472731818845
2022-04-04T00:13:00+0900,m5stack-bme280-device-bme280,21.1856,41.63863,1024.639,,,,7.692523723452558
2022-04-04T00:16:00+0900,m5stack-bme280-device-sgp30,,,,1753.0,931.0,,
2022-04-04T00:19:00+0900,m5stack-bme280-device-scd30,23.92327,38.75614,,,,1297.0,8.376322438227435
2022-04-04T00:23:00+0900,m5stack-bme280-device-bme280,21.102,41.89047,1024.579,,,,7.701652239081575
2022-04-04T00:26:00+0900,m5stack-bme280-device-sgp30,,,,1716.0,897.0,,
2022-04-04T00:29:00+0900,m5stack-bme280-device-scd30,23.84598,38.79276,,,,1293.0,8.347560953825127
2022-04-04T00:33:00+0900,m5stack-bme280-device-bme280,20.994,42.08172,1024.48,,,,7.688513250459923
2022-04-04T00:36:00+0900,m5stack-bme280-device-sgp30,,,,1677.0,879.0,,
2022-04-04T00:39:00+0900,m5stack-bme280-device-scd30,23.68145,38.96323,,,,1276.0,8.306289592482617
2022-04-04T00:43:00+0900,m5stack-bme280-device-bme280,20.9092,42.39172,1024.467,,,,7.707131637041005
2022-04-04T00:46:00+0900,m5stack-bme280-device-sgp30,,,,2972.0,1578.0,,
2022-04-04T00:49:00+0900,m5stack-bme280-device-scd30,23.81927,39.03003,,,,1275.0,8.385897876462312
2022-04-04T00:53:00+0900,m5stack-bme280-device-bme280,21.0,42.2832,1024.355,,,,7.728013848639738
2022-04-04T00:56:00+0900,m5stack-bme280-device-sgp30,,,,2725.0,1430.0,,
2022-04-04T00:59:00+0900,m5stack-bme280-device-scd30,23.80859,39.01859,,,,1275.0,8.378360093856971
2022-04-04T01:03:00+0900,m5stack-bme280-device-bme280,20.9364,42.74519,1024.297,,,,7.783674113974581
2022-04-04T01:06:00+0900,m5stack-bme280-device-sgp30,,,,2564.0,1343.0,,
2022-04-04T01:09:00+0900,m5stack-bme280-device-scd30,23.71245,39.50738,,,,1296.0,8.437137083793278
2022-04-04T01:13:00+0900,m5stack-bme280-device-bme280,20.9004,43.17672,1024.385,,,,7.845841413609609
2022-04-04T01:16:00+0900,m5stack-bme280-device-sgp30,,,,2391.0,1255.0,,
2022-04-04T01:19:00+0900,m5stack-bme280-device-scd30,23.59363,39.82824,,,,1283.0,8.448424849316806
2022-04-04T01:23:00+0900,m5stack-bme280-device-bme280,20.846,43.42285,1024.317,,,,7.865681605618719
2022-04-04T01:26:00+0900,m5stack-bme280-device-sgp30,,,,2217.0,1160.0,,
2022-04-04T01:29:00+0900,m5stack-bme280-device-scd30,23.66068,39.8446,,,,1271.0,8.484164802686493
2022-04-04T01:33:00+0900,m5stack-bme280-device-bme280,20.914,43.54703,1024.297,,,,7.919381919010394
2022-04-04T01:36:00+0900,m5stack-bme280-device-sgp30,,,,2074.0,1081.0,,
2022-04-04T01:39:00+0900,m5stack-bme280-device-scd30,23.64169,40.05153,,,,1260.0,8.51902892694862
2022-04-04T01:43:00+0900,m5stack-bme280-device-bme280,20.9448,43.53109,1024.18,,,,7.930647580680336
2022-04-04T01:46:00+0900,m5stack-bme280-device-sgp30,,,,1972.0,1023.0,,
2022-04-04T01:49:00+0900,m5stack-bme280-device-scd30,23.75548,39.81247,,,,1261.0,8.523093047535035
2022-04-04T01:53:00+0900,m5stack-bme280-device-bme280,20.8868,43.30476,1024.134,,,,7.862897405268623
2022-04-04T01:56:00+0900,m5stack-bme280-device-sgp30,,,,1867.0,963.0,,
2022-04-04T01:59:00+0900,m5stack-bme280-device-scd30,23.66543,39.66209,,,,1245.0,8.447582309044186
2022-04-04T02:03:00+0900,m5stack-bme280-device-bme280,20.8988,43.1973,1024.15,,,,7.848852017689766
2022-04-04T02:06:00+0900,m5stack-bme280-device-sgp30,,,,1831.0,951.0,,
2022-04-04T02:09:00+0900,m5stack-bme280-device-scd30,23.77076,39.58062,,,,1243.0,8.48081245946353
2022-04-04T02:13:00+0900,m5stack-bme280-device-bme280,20.876,43.25621,1024.1,,,,7.849158606287474
2022-04-04T02:16:00+0900,m5stack-bme280-device-sgp30,,,,3184.0,1648.0,,
2022-04-04T02:19:00+0900,m5stack-bme280-device-scd30,23.64406,40.66018,,,,1250.0,8.649654695822713
2022-04-04T02:23:00+0900,m5stack-bme280-device-bme280,20.8836,44.50723,1024.101,,,,8.07973003353944
2022-04-04T02:26:00+0900,m5stack-bme280-device-sgp30,,,,2870.0,1526.0,,
2022-04-04T02:29:00+0900,m5stack-bme280-device-scd30,23.76379,40.48725,,,,1263.0,8.67164104038301
2022-04-04T02:33:00+0900,m5stack-bme280-device-bme280,20.9236,44.03645,1024.034,,,,8.012850709365242
2022-04-04T02:36:00+0900,m5stack-bme280-device-sgp30,,,,2679.0,1410.0,,
2022-04-04T02:39:00+0900,m5stack-bme280-device-scd30,23.84686,40.2398,,,,1261.0,8.659372400784425
2022-04-04T02:43:00+0900,m5stack-bme280-device-bme280,20.9304,43.82887,1023.973,,,,7.978227790395925
2022-04-04T02:46:00+0900,m5stack-bme280-device-sgp30,,,,2556.0,1335.0,,
2022-04-04T02:49:00+0900,m5stack-bme280-device-scd30,23.8706,40.11943,,,,1263.0,8.645105206099716
2022-04-04T02:53:00+0900,m5stack-bme280-device-bme280,20.9684,43.45203,1023.913,,,,7.9270925495776225
2022-04-04T02:56:00+0900,m5stack-bme280-device-sgp30,,,,2449.0,1266.0,,
2022-04-04T02:59:00+0900,m5stack-bme280-device-scd30,23.7261,40.15282,,,,1250.0,8.581626533540861
2022-04-04T03:03:00+0900,m5stack-bme280-device-bme280,20.8648,43.545,1023.919,,,,7.896424565858336
2022-04-04T03:06:00+0900,m5stack-bme280-device-sgp30,,,,2324.0,1211.0,,
2022-04-04T03:09:00+0900,m5stack-bme280-device-scd30,23.74435,40.14494,,,,1238.0,8.588838956162764
2022-04-04T03:13:00+0900,m5stack-bme280-device-bme280,21.02,43.1168,1023.952,,,,7.88951633023913
2022-04-04T03:16:00+0900,m5stack-bme280-device-sgp30,,,,2171.0,1129.0,,
2022-04-04T03:19:00+0900,m5stack-bme280-device-scd30,23.55031,40.27489,,,,1224.0,8.522151851121201
2022-04-04T03:23:00+0900,m5stack-bme280-device-bme280,20.8504,43.29816,1023.815,,,,7.845099543716011
2022-04-04T03:26:00+0900,m5stack-bme280-device-sgp30,,,,2017.0,1051.0,,
2022-04-04T03:29:00+0900,m5stack-bme280-device-scd30,23.44261,40.32364,,,,1214.0,8.480346226217698
2022-04-04T03:33:00+0900,m5stack-bme280-device-bme280,20.78,43.26301,1023.762,,,,7.806738310051871
2022-04-04T03:36:00+0900,m5stack-bme280-device-sgp30,,,,1895.0,988.0,,
2022-04-04T03:39:00+0900,m5stack-bme280-device-scd30,23.54007,40.29956,,,,1199.0,8.522407486550248
2022-04-04T03:43:00+0900,m5stack-bme280-device-bme280,21.0316,42.8493,1023.709,,,,7.845845749125326
2022-04-04T03:46:00+0900,m5stack-bme280-device-sgp30,,,,1761.0,912.0,,
2022-04-04T03:49:00+0900,m5stack-bme280-device-scd30,23.46159,40.25608,,,,1182.0,8.475287826309348
2022-04-04T03:53:00+0900,m5stack-bme280-device-bme280,21.1644,42.56426,1023.785,,,,7.853877900733927
2022-04-04T03:56:00+0900,m5stack-bme280-device-sgp30,,,,1669.0,858.0,,
2022-04-04T03:59:00+0900,m5stack-bme280-device-scd30,23.4159,40.11451,,,,1173.0,8.423547947227007
2022-04-04T04:03:00+0900,m5stack-bme280-device-bme280,21.0712,42.70117,1023.729,,,,7.836696673745144
2022-04-04T04:06:00+0900,m5stack-bme280-device-sgp30,,,,1557.0,838.0,,
2022-04-04T04:09:00+0900,m5stack-bme280-device-scd30,23.33045,40.25608,,,,1154.0,8.412241413640256
2022-04-04T04:13:00+0900,m5stack-bme280-device-bme280,20.5184,43.96016,1023.813,,,,7.812744907320639
2022-04-04T04:16:00+0900,m5stack-bme280-device-sgp30,,,,1517.0,831.0,,
2022-04-04T04:19:00+0900,m5stack-bme280-device-scd30,23.00971,41.0358,,,,1140.0,8.41973131541997
2022-04-04T04:23:00+0900,m5stack-bme280-device-bme280,20.3376,44.71664,1023.842,,,,7.86390534133152
2022-04-04T04:26:00+0900,m5stack-bme280-device-sgp30,,,,1465.0,820.0,,
2022-04-04T04:29:00+0900,m5stack-bme280-device-scd30,22.81345,41.53298,,,,1131.0,8.426693298955708
2022-04-04T04:33:00+0900,m5stack-bme280-device-bme280,20.3872,44.78891,1023.844,,,,7.89942379601576
2022-04-04T04:36:00+0900,m5stack-bme280-device-sgp30,,,,1437.0,809.0,,
2022-04-04T04:39:00+0900,m5stack-bme280-device-scd30,22.69476,42.06746,,,,1119.0,8.47736453028598
2022-04-04T04:43:00+0900,m5stack-bme280-device-bme280,20.2436,45.08203,1023.743,,,,7.884810898083968
2022-04-04T04:46:00+0900,m5stack-bme280-device-sgp30,,,,1490.0,827.0,,
2022-04-04T04:49:00+0900,m5stack-bme280-device-scd30,22.62726,42.11909,,,,1123.0,8.455025338392288
2022-04-04T04:53:00+0900,m5stack-bme280-device-bme280,20.142,45.09012,1023.742,,,,7.839591075341064
2022-04-04T04:56:00+0900,m5stack-bme280-device-sgp30,,,,1429.0,813.0,,
2022-04-04T04:59:00+0900,m5stack-bme280-device-scd30,22.71449,41.76025,,,,1113.0,8.424965869155372
2022-04-04T05:03:00+0900,m5stack-bme280-device-bme280,20.0628,45.1834,1023.704,,,,7.819547031081213
2022-04-04T05:06:00+0900,m5stack-bme280-device-sgp30,,,,1411.0,808.0,,
2022-04-04T05:09:00+0900,m5stack-bme280-device-scd30,22.54612,42.01558,,,,1106.0,8.395127356875703
2022-04-04T05:13:00+0900,m5stack-bme280-device-bme280,20.1744,45.17988,1023.753,,,,7.870072462365058
2022-04-04T05:17:00+0900,m5stack-bme280-device-sgp30,,,,1376.0,805.0,,
2022-04-04T05:20:00+0900,m5stack-bme280-device-scd30,23.16682,40.85507,,,,1096.0,8.458151558677784
2022-04-04T05:24:00+0900,m5stack-bme280-device-bme280,20.3336,44.39848,1023.707,,,,7.806132524929514
2022-04-04T05:27:00+0900,m5stack-bme280-device-sgp30,,,,1479.0,845.0,,
2022-04-04T05:30:00+0900,m5stack-bme280-device-scd30,23.20094,40.69002,,,,1082.0,8.440389503933503
2022-04-04T05:34:00+0900,m5stack-bme280-device-bme280,20.3032,44.44957,1023.718,,,,7.801272148924715
2022-04-04T05:37:00+0900,m5stack-bme280-device-sgp30,,,,1486.0,835.0,,
2022-04-04T05:40:00+0900,m5stack-bme280-device-scd30,23.42762,40.54506,,,,1076.0,8.519640184329276
2022-04-04T05:44:00+0900,m5stack-bme280-device-bme280,20.5048,43.98871,1023.793,,,,7.811630174323872
2022-04-04T05:47:00+0900,m5stack-bme280-device-sgp30,,,,1433.0,821.0,,
2022-04-04T05:50:00+0900,m5stack-bme280-device-scd30,23.24396,40.68553,,,,1077.0,8.46018306605561
2022-04-04T05:54:00+0900,m5stack-bme280-device-bme280,20.4924,43.76188,1023.836,,,,7.765739214705039
2022-04-04T05:57:00+0900,m5stack-bme280-device-sgp30,,,,1402.0,813.0,,
2022-04-04T06:00:00+0900,m5stack-bme280-device-scd30,23.20821,40.67841,,,,1084.0,8.441479859270608
2022-04-04T06:04:00+0900,m5stack-bme280-device-bme280,20.7592,43.39621,1023.905,,,,7.821314319968273
2022-04-04T06:07:00+0900,m5stack-bme280-device-sgp30,,,,1666.0,929.0,,
2022-04-04T06:10:00+0900,m5stack-bme280-device-scd30,23.13967,40.74885,,,,1086.0,8.423105722479104
2022-04-04T06:14:00+0900,m5stack-bme280-device-bme280,20.8968,43.39555,1023.971,,,,7.883958142338561
2022-04-04T06:17:00+0900,m5stack-bme280-device-sgp30,,,,1661.0,912.0,,
2022-04-04T06:20:00+0900,m5stack-bme280-device-scd30,23.23462,40.51912,,,,1093.0,8.42109476315494
2022-04-04T06:24:00+0900,m5stack-bme280-device-bme280,20.7016,43.58773,1024.145,,,,7.829572129894799
2022-04-04T06:27:00+0900,m5stack-bme280-device-sgp30,,,,1780.0,1024.0,,
