measuredAt,sensorId,temperature,humidity,pressure,tvoc,eCo2,co2,absolute_humidity
2021-04-12T00:00:00+0900,m5stack-bme280-device-sgp30,,,,5062.0,1652.0,,
2021-04-12T00:03:00+0900,m5stack-bme280-device-scd30,22.02625,36.62171,,,,1568.0,7.102141723335203
2021-04-12T00:07:00+0900,m5stack-bme280-device-bme280,19.98,38.37695,1030.619,,,,6.609538634370843
2021-04-12T00:10:00+0900,m5stack-bme280-device-sgp30,,,,5010.0,1624.0,,
2021-04-12T00:13:00+0900,m5stack-bme280-device-scd30,21.96041,36.68446,,,,1584.0,7.087400375704214
2021-04-12T00:17:00+0900,m5stack-bme280-device-bme280,19.93,38.55859,1030.548,,,,6.6214308679183365
2021-04-12T00:20:00+0900,m5stack-bme280-device-sgp30,,,,6291.0,1993.0,,
2021-04-12T00:23:00+0900,m5stack-bme280-device-scd30,21.8753,36.81435,,,,1594.0,7.077715954612246
2021-04-12T00:27:00+0900,m5stack-bme280-device-bme280,19.85,38.49316,1030.416,,,,6.579323755320392
2021-04-12T00:30:00+0900,m5stack-bme280-device-sgp30,,,,12026.0,3911.0,,
2021-04-12T00:33:00+0900,m5stack-bme280-device-scd30,21.81647,36.98826,,,,1615.0,7.0870837096657
2021-04-12T00:37:00+0900,m5stack-bme280-device-bme280,19.78,38.68262,1030.282,,,,6.584664339706768
2021-04-12T00:40:00+0900,m5stack-bme280-device-sgp30,,,,12618.0,4036.0,,
2021-04-12T00:43:00+0900,m5stack-bme280-device-scd30,21.75539,37.15286,,,,1636.0,7.093597708271071
2021-04-12T00:47:00+0900,m5stack-bme280-device-bme280,19.71,39.15723,1030.247,,,,6.638176724262062
2021-04-12T00:50:00+0900,m5stack-bme280-device-sgp30,,,,11357.0,3589.0,,
2021-04-12T00:53:00+0900,m5stack-bme280-device-scd30,21.69772,37.30473,,,,1653.0,7.09894091548486
2021-04-12T00:57:00+0900,m5stack-bme280-device-bme280,19.67,39.09473,1030.354,,,,6.61206269444413
2021-04-12T01:00:00+0900,m5stack-bme280-device-sgp30,,,,10325.0,3241.0,,
2021-04-12T01:03:00+0900,m5stack-bme280-device-scd30,21.659,37.44822,,,,1669.0,7.110342693614506
2021-04-12T01:07:00+0900,m5stack-bme280-device-bme280,19.6,39.53809,1029.99,,,,6.659658803619927
2021-04-12T01:10:00+0900,m5stack-bme280-device-sgp30,,,,9494.0,2937.0,,
2021-04-12T01:13:00+0900,m5stack-bme280-device-scd30,21.5884,37.75086,,,,1698.0,7.13865249944583
2021-04-12T01:17:00+0900,m5stack-bme280-device-bme280,19.52,39.87402,1029.884,,,,6.6847939997933015
2021-04-12T01:20:00+0900,m5stack-bme280-device-sgp30,,,,8767.0,2685.0,,
2021-04-12T01:23:00+0900,m5stack-bme280-device-scd30,21.51414,37.99339,,,,1722.0,7.153764956003716
2021-04-12T01:27:00+0900,m5stack-bme280-device-bme280,19.46,39.74121,1029.751,,,,6.639104967270586
2021-04-12T01:30:00+0900,m5stack-bme280-device-sgp30,,,,8066.0,2431.0,,
2021-04-12T01:33:00+0900,m5stack-bme280-device-scd30,21.43761,38.22341,,,,1744.0,7.165313690803241
2021-04-12T01:37:00+0900,m5stack-bme280-device-bme280,19.34,40.73828,1029.804,,,,6.757870399242804
2021-04-12T01:40:00+0900,m5stack-bme280-device-sgp30,,,,3345.0,1207.0,,
2021-04-12T01:43:00+0900,m5stack-bme280-device-scd30,21.33422,38.71164,,,,1292.0,7.213574485119935
2021-04-12T01:47:00+0900,m5stack-bme280-device-bme280,19.32,40.99023,1029.884,,,,6.791677117601085
