measuredAt,sensorId,temperature,humidity,pressure,tvoc,eCo2,co2,absolute_humidity
2021-06-14T00:00:00+0900,m5stack-bme280-device-sgp30,,,,80.0,430.0,,
2021-06-14T00:00:57+0900,m5stack-bme280-device-bme280,24.472,98.03664,1008.776,,,,21.856769537023236
2021-06-14T00:01:00+0900,m5stack-bme280-device-sgp30,,,,65.0,412.0,,
2021-06-14T00:00:58+0900,m5stack-bme280-device-scd30,26.52253,68.22603,,,,406.0,17.062258083596905
2021-06-14T00:01:57+0900,m5stack-bme280-device-bme280,24.4728,98.03785,1008.805,,,,21.858026640671767
2021-06-14T00:02:00+0900,m5stack-bme280-device-sgp30,,,,45.0,402.0,,
2021-06-14T00:01:54+0900,m5stack-bme280-device-scd30,26.5433,68.17915,,,,406.0,17.070227458395124
2021-06-14T00:02:57+0900,m5stack-bme280-device-bme280,24.4356,97.8109,1008.82,,,,21.761662581973063
2021-06-14T00:03:00+0900,m5stack-bme280-device-sgp30,,,,29.0,400.0,,
2021-06-14T00:02:57+0900,m5stack-bme280-device-scd30,26.54019,68.04106,,,,406.0,17.032709375560618
2021-06-14T00:03:57+0900,m5stack-bme280-device-bme280,24.3916,97.4775,1008.835,,,,21.63364661579663
2021-06-14T00:04:00+0900,m5stack-bme280-device-sgp30,,,,22.0,400.0,,
2021-06-14T00:04:00+0900,m5stack-bme280-device-scd30,26.51259,67.87415,,,,404.0,16.964882756467635
2021-06-14T00:04:57+0900,m5stack-bme280-device-bme280,24.3224,98.30574,1008.836,,,,21.732304145417167
2021-06-14T00:05:00+0900,m5stack-bme280-device-sgp30,,,,19.0,401.0,,
2021-06-14T00:04:56+0900,m5stack-bme280-device-scd30,26.47343,68.05911,,,,402.0,16.974118953782504
2021-06-14T00:05:57+0900,m5stack-bme280-device-bme280,24.2368,99.55172,1008.841,,,,21.901478563306988
2021-06-14T00:06:00+0900,m5stack-bme280-device-sgp30,,,,22.0,403.0,,
2021-06-14T00:05:59+0900,m5stack-bme280-device-scd30,26.41053,68.68701,,,,401.0,17.07089650914875
2021-06-14T00:06:57+0900,m5stack-bme280-device-bme280,24.218,100.0,1008.828,,,,21.97671498839407
2021-06-14T00:07:00+0900,m5stack-bme280-device-sgp30,,,,34.0,413.0,,
2021-06-14T00:06:55+0900,m5stack-bme280-device-scd30,26.37196,68.80705,,,,401.0,17.064072665842257
2021-06-14T00:07:57+0900,m5stack-bme280-device-bme280,24.328,99.72223,1008.814,,,,22.05242532097863
2021-06-14T00:08:00+0900,m5stack-bme280-device-sgp30,,,,64.0,441.0,,
2021-06-14T00:07:58+0900,m5stack-bme280-device-scd30,26.431,68.44406,,,,404.0,17.02989556372715
2021-06-14T00:08:57+0900,m5stack-bme280-device-bme280,24.5184,98.64695,1008.814,,,,22.050520647952
2021-06-14T00:09:00+0900,m5stack-bme280-device-sgp30,,,,110.0,475.0,,
2021-06-14T00:08:54+0900,m5stack-bme280-device-scd30,26.56897,68.21874,,,,418.0,17.1045202925354
2021-06-14T00:09:57+0900,m5stack-bme280-device-bme280,24.722,96.89543,1008.806,,,,21.909149416017705
2021-06-14T00:09:58+0900,m5stack-bme280-device-sgp30,,,,151.0,502.0,,
2021-06-14T00:10:00+0900,m5stack-bme280-device-scd30,26.7599,67.84134,,,,442.0,17.191168856673936
2021-06-14T00:10:57+0900,m5stack-bme280-device-bme280,24.9136,95.16489,1008.802,,,,21.751285635190623
2021-06-14T00:10:58+0900,m5stack-bme280-device-sgp30,,,,186.0,524.0,,
2021-06-14T00:10:56+0900,m5stack-bme280-device-scd30,26.93955,67.4274,,,,460.0,17.257308281831502
2021-06-14T00:11:57+0900,m5stack-bme280-device-bme280,25.0924,93.52898,1008.792,,,,21.593401106265997
2021-06-14T00:11:59+0900,m5stack-bme280-device-sgp30,,,,212.0,543.0,,
2021-06-14T00:11:59+0900,m5stack-bme280-device-scd30,27.12781,66.93132,,,,473.0,17.309823016983582
2021-06-14T00:12:57+0900,m5stack-bme280-device-bme280,25.2664,91.9925,1008.78,,,,21.44721731751405
2021-06-14T00:12:59+0900,m5stack-bme280-device-sgp30,,,,234.0,565.0,,
2021-06-14T00:12:55+0900,m5stack-bme280-device-scd30,27.28298,66.49747,,,,486.0,17.3458037929384
2021-06-14T00:13:57+0900,m5stack-bme280-device-bme280,25.42,90.65238,1008.766,,,,21.31764196381728
2021-06-14T00:13:59+0900,m5stack-bme280-device-sgp30,,,,256.0,583.0,,
2021-06-14T00:13:58+0900,m5stack-bme280-device-scd30,27.45136,66.02435,,,,502.0,17.383280018074075
2021-06-14T00:14:57+0900,m5stack-bme280-device-bme280,25.546,89.43398,1008.758,,,,21.18011666166959
2021-06-14T00:14:59+0900,m5stack-bme280-device-sgp30,,,,278.0,595.0,,
2021-06-14T00:14:54+0900,m5stack-bme280-device-scd30,27.58606,65.61364,,,,514.0,17.403977694881117
2021-06-14T00:15:57+0900,m5stack-bme280-device-bme280,25.6524,88.38195,1008.748,,,,21.056005502317834
2021-06-14T00:15:59+0900,m5stack-bme280-device-sgp30,,,,301.0,608.0,,
2021-06-14T00:15:58+0900,m5stack-bme280-device-scd30,27.7224,65.19394,,,,523.0,17.423055495456428
2021-06-14T00:16:57+0900,m5stack-bme280-device-bme280,25.7472,87.45414,1008.732,,,,20.94573550156071
2021-06-14T00:16:59+0900,m5stack-bme280-device-sgp30,,,,322.0,623.0,,
2021-06-14T00:16:54+0900,m5stack-bme280-device-scd30,27.8264,64.83536,,,,533.0,17.426714846645275
2021-06-14T00:17:57+0900,m5stack-bme280-device-bme280,25.8248,86.72109,1008.721,,,,20.86045336946233
2021-06-14T00:17:59+0900,m5stack-bme280-device-sgp30,,,,346.0,641.0,,
2021-06-14T00:17:57+0900,m5stack-bme280-device-scd30,27.9255,64.47449,,,,544.0,17.424448193559915
2021-06-14T00:18:57+0900,m5stack-bme280-device-bme280,25.8796,86.21039,1008.707,,,,20.801192927724586
2021-06-14T00:18:59+0900,m5stack-bme280-device-sgp30,,,,372.0,656.0,,
2021-06-14T00:19:00+0900,m5stack-bme280-device-scd30,28.01154,64.18906,,,,555.0,17.429550911390848
2021-06-14T00:19:57+0900,m5stack-bme280-device-bme280,25.92,85.78735,1008.664,,,,20.745874927391803
2021-06-14T00:19:59+0900,m5stack-bme280-device-sgp30,,,,393.0,666.0,,
2021-06-14T00:19:56+0900,m5stack-bme280-device-scd30,28.07503,63.96866,,,,566.0,17.43039746929661
2021-06-14T00:20:57+0900,m5stack-bme280-device-bme280,25.9572,85.38219,1008.627,,,,20.69082373505257
2021-06-14T00:20:59+0900,m5stack-bme280-device-sgp30,,,,409.0,677.0,,
2021-06-14T00:20:59+0900,m5stack-bme280-device-scd30,28.13853,63.72062,,,,579.0,17.423459554925167
2021-06-14T00:21:57+0900,m5stack-bme280-device-bme280,25.9892,85.04105,1008.603,,,,20.644995973151666
2021-06-14T00:21:59+0900,m5stack-bme280-device-sgp30,,,,427.0,689.0,,
2021-06-14T00:21:55+0900,m5stack-bme280-device-scd30,28.18881,63.5259,,,,594.0,17.418220896019484
2021-06-14T00:22:57+0900,m5stack-bme280-device-bme280,26.0156,84.73386,1008.536,,,,20.60074786724233
2021-06-14T00:22:59+0900,m5stack-bme280-device-sgp30,,,,436.0,695.0,,
2021-06-14T00:22:58+0900,m5stack-bme280-device-scd30,28.2351,63.32584,,,,610.0,17.40752294490385
2021-06-14T00:23:54+0900,m5stack-bme280-device-scd30,28.26952,63.13137,,,,620.0,17.386860794492872
2021-06-14T00:27:57+0900,m5stack-bme280-device-bme280,26.0724,83.35727,1008.278,,,,20.330384583675315
2021-06-14T00:30:59+0900,m5stack-bme280-device-sgp30,,,,486.0,736.0,,
2021-06-14T00:33:57+0900,m5stack-bme280-device-scd30,28.36462,62.07335,,,,651.0,17.18483960079552
2021-06-14T00:37:57+0900,m5stack-bme280-device-bme280,26.0888,81.84746,1007.978,,,,19.980416415500912
2021-06-14T00:40:59+0900,m5stack-bme280-device-sgp30,,,,513.0,765.0,,
2021-06-14T00:43:59+0900,m5stack-bme280-device-scd30,28.2986,62.0753,,,,675.0,17.12329585314328
2021-06-14T00:47:57+0900,m5stack-bme280-device-bme280,26.1256,81.80926,1007.643,,,,20.01211217264079
2021-06-14T00:50:59+0900,m5stack-bme280-device-sgp30,,,,542.0,794.0,,
2021-06-14T00:53:54+0900,m5stack-bme280-device-scd30,28.26923,61.90423,,,,706.0,17.04862591992152
2021-06-14T00:58:00+0900,m5stack-bme280-device-bme280,26.122,81.15172,1007.848,,,,19.84728143903098
2021-06-14T01:01:00+0900,m5stack-bme280-device-sgp30,,,,535.0,798.0,,
2021-06-14T01:03:57+0900,m5stack-bme280-device-scd30,28.24163,61.60049,,,,708.0,16.939311584525072
2021-06-14T01:08:00+0900,m5stack-bme280-device-bme280,26.0772,80.45152,1007.752,,,,19.626941548815022
2021-06-14T01:11:00+0900,m5stack-bme280-device-sgp30,,,,519.0,794.0,,
2021-06-14T01:13:59+0900,m5stack-bme280-device-scd30,28.16879,61.6049,,,,719.0,16.872950985071633
2021-06-14T01:18:00+0900,m5stack-bme280-device-bme280,26.0856,80.05758,1008.056,,,,19.53998765149813
2021-06-14T01:21:00+0900,m5stack-bme280-device-sgp30,,,,517.0,784.0,,
2021-06-14T01:23:54+0900,m5stack-bme280-device-scd30,28.15855,61.45486,,,,773.0,16.82239869848494
2021-06-14T01:28:00+0900,m5stack-bme280-device-bme280,26.0756,79.80801,1007.903,,,,19.468213619937565
2021-06-14T01:31:00+0900,m5stack-bme280-device-sgp30,,,,501.0,773.0,,
2021-06-14T01:33:56+0900,m5stack-bme280-device-scd30,28.11049,61.57286,,,,822.0,16.810286366909047
2021-06-14T01:38:00+0900,m5stack-bme280-device-bme280,25.9428,80.59515,1007.767,,,,19.51507715839304
2021-06-14T01:41:00+0900,m5stack-bme280-device-sgp30,,,,1941.0,1879.0,,
2021-06-14T01:43:58+0900,m5stack-bme280-device-scd30,27.88974,61.9762,,,,791.0,16.716369215995776
2021-06-14T01:48:00+0900,m5stack-bme280-device-sgp30,,,,1345.0,1607.0,,
2021-06-14T01:51:00+0900,m5stack-bme280-device-scd30,27.83204,61.93178,,,,774.0,16.65144585204369
2021-06-14T01:54:57+0900,m5stack-bme280-device-bme280,25.8864,79.9516,1007.64,,,,19.29837501500981
2021-06-14T01:58:00+0900,m5stack-bme280-device-sgp30,,,,1071.0,1363.0,,
