measuredAt,sensorId,temperature,humidity,pressure,tvoc,eCo2,co2,absolute_humidity
2021-04-19T00:02:00+0900,m5stack-bme280-device-sgp30,,,,4915.0,1676.0,,
2021-04-19T00:05:00+0900,m5stack-bme280-device-scd30,24.07006,42.83743,,,,1679.0,9.335748673241856
2021-04-19T00:09:00+0900,m5stack-bme280-device-bme280,21.2,46.72461,1014.936,,,,8.639335220580323
2021-04-19T00:12:00+0900,m5stack-bme280-device-sgp30,,,,4847.0,1668.0,,
2021-04-19T00:15:00+0900,m5stack-bme280-device-scd30,24.09868,42.86528,,,,1647.0,9.356972257331996
2021-04-19T00:19:00+0900,m5stack-bme280-device-bme280,21.46,46.06641,1014.909,,,,8.646736762665098
2021-04-19T00:22:00+0900,m5stack-bme280-device-sgp30,,,,4728.0,1639.0,,
2021-04-19T00:25:00+0900,m5stack-bme280-device-scd30,24.63725,42.80372,,,,1671.0,9.632273337256912
2021-04-19T00:29:00+0900,m5stack-bme280-device-bme280,22.42,44.41504,1014.885,,,,8.810614671727766
2021-04-19T00:32:00+0900,m5stack-bme280-device-sgp30,,,,4634.0,1613.0,,
2021-04-19T00:35:00+0900,m5stack-bme280-device-scd30,26.48537,39.15081,,,,1678.0,9.770798073352934
2021-04-19T00:39:00+0900,m5stack-bme280-device-bme280,23.16,42.41895,1014.971,,,,8.778503245672152
2021-04-19T00:42:00+0900,m5stack-bme280-device-sgp30,,,,4568.0,1602.0,,
2021-04-19T00:45:00+0900,m5stack-bme280-device-scd30,26.95101,37.87026,,,,1649.0,9.698636118197117
2021-04-19T00:49:00+0900,m5stack-bme280-device-bme280,23.99,41.0957,1014.99,,,,8.915632434286607
2021-04-19T00:52:00+0900,m5stack-bme280-device-sgp30,,,,4436.0,1563.0,,
2021-04-19T00:55:00+0900,m5stack-bme280-device-scd30,28.81899,35.82592,,,,1605.0,10.167955478773878
2021-04-19T00:59:00+0900,m5stack-bme280-device-bme280,25.9,36.70313,1015.051,,,,8.865976142360562
2021-04-19T01:02:00+0900,m5stack-bme280-device-sgp30,,,,4128.0,1488.0,,
2021-04-19T01:05:00+0900,m5stack-bme280-device-scd30,26.29987,37.97665,,,,1551.0,9.380451882990384
2021-04-19T01:09:00+0900,m5stack-bme280-device-bme280,23.39,41.34668,1015.025,,,,8.66949504528794
2021-04-19T01:12:00+0900,m5stack-bme280-device-sgp30,,,,3951.0,1467.0,,
2021-04-19T01:15:00+0900,m5stack-bme280-device-scd30,25.52597,39.7644,,,,1535.0,9.406608114923888
2021-04-19T01:19:00+0900,m5stack-bme280-device-bme280,23.57,41.26367,1015.08,,,,8.741158947392107
2021-04-19T01:22:00+0900,m5stack-bme280-device-sgp30,,,,3782.0,1430.0,,
2021-04-19T01:25:00+0900,m5stack-bme280-device-scd30,25.99395,38.92622,,,,1507.0,9.452431699166674
2021-04-19T01:29:00+0900,m5stack-bme280-device-bme280,23.04,42.43652,1015.182,,,,8.72220394355019
2021-04-19T01:32:00+0900,m5stack-bme280-device-sgp30,,,,3690.0,1406.0,,
2021-04-19T01:35:00+0900,m5stack-bme280-device-scd30,25.43168,40.13224,,,,1492.0,9.44360203564452
2021-04-19T01:39:00+0900,m5stack-bme280-device-bme280,23.59,42.04492,1015.142,,,,8.916789955429225
2021-04-19T01:42:00+0900,m5stack-bme280-device-sgp30,,,,3564.0,1387.0,,
2021-04-19T01:45:00+0900,m5stack-bme280-device-scd30,26.82384,38.55434,,,,1472.0,9.804478663457791
2021-04-19T01:49:00+0900,m5stack-bme280-device-bme280,24.21,40.55078,1015.249,,,,8.907696644803892
2021-04-19T01:52:00+0900,m5stack-bme280-device-sgp30,,,,3488.0,1355.0,,
2021-04-19T01:55:00+0900,m5stack-bme280-device-scd30,27.38769,37.62374,,,,1455.0,9.87104562292818
2021-04-19T01:59:00+0900,m5stack-bme280-device-bme280,25.53,38.43945,1015.177,,,,9.09523253146137
2021-04-19T02:02:00+0900,m5stack-bme280-device-sgp30,,,,3373.0,1302.0,,
2021-04-19T02:05:00+0900,m5stack-bme280-device-scd30,26.97888,37.30321,,,,1447.0,9.568173741375118
2021-04-19T02:09:00+0900,m5stack-bme280-device-bme280,24.57,39.8623,1015.268,,,,8.9363914796345
2021-04-19T02:12:00+0900,m5stack-bme280-device-sgp30,,,,3124.0,1257.0,,
2021-04-19T02:15:00+0900,m5stack-bme280-device-scd30,26.05812,39.04071,,,,1428.0,9.51423573923875
2021-04-19T02:19:00+0900,m5stack-bme280-device-bme280,23.66,41.87402,1015.37,,,,8.91594746198235
2021-04-19T02:22:00+0900,m5stack-bme280-device-sgp30,,,,3004.0,1215.0,,
2021-04-19T02:25:00+0900,m5stack-bme280-device-scd30,25.85075,39.80942,,,,1433.0,9.589910678815087
2021-04-19T02:29:00+0900,m5stack-bme280-device-bme280,23.15,42.49707,1015.24,,,,8.789654683214916
2021-04-19T02:32:00+0900,m5stack-bme280-device-sgp30,,,,2852.0,1135.0,,
2021-04-19T02:35:00+0900,m5stack-bme280-device-scd30,25.25009,40.63692,,,,1409.0,9.465461046340437
2021-04-19T02:39:00+0900,m5stack-bme280-device-bme280,23.13,43.00781,1015.151,,,,8.885147187003074
2021-04-19T02:42:00+0900,m5stack-bme280-device-sgp30,,,,2750.0,1076.0,,
2021-04-19T02:45:00+0900,m5stack-bme280-device-scd30,25.78241,39.87022,,,,1402.0,9.567946775869704
2021-04-19T02:49:00+0900,m5stack-bme280-device-bme280,23.26,42.48828,1015.173,,,,8.843129827767788
2021-04-19T02:52:00+0900,m5stack-bme280-device-sgp30,,,,2711.0,1056.0,,
2021-04-19T02:55:00+0900,m5stack-bme280-device-scd30,25.92452,39.90264,,,,1400.0,9.652053999277564
2021-04-19T02:59:00+0900,m5stack-bme280-device-bme280,24.06,41.02246,1015.112,,,,8.93511142761528
2021-04-19T03:02:00+0900,m5stack-bme280-device-sgp30,,,,2716.0,1060.0,,
2021-04-19T03:05:00+0900,m5stack-bme280-device-scd30,27.64563,37.10175,,,,1386.0,9.873582236622171
2021-04-19T03:09:00+0900,m5stack-bme280-device-bme280,24.71,40.24023,1015.092,,,,9.092618356681042
2021-04-19T03:12:00+0900,m5stack-bme280-device-sgp30,,,,2788.0,1179.0,,
2021-04-19T03:15:00+0900,m5stack-bme280-device-scd30,28.16926,36.63802,,,,1387.0,10.0350371988393
2021-04-19T03:19:00+0900,m5stack-bme280-device-bme280,25.27,38.91309,1015.038,,,,9.07406716696682
2021-04-19T03:22:00+0900,m5stack-bme280-device-sgp30,,,,3517.0,1405.0,,
2021-04-19T03:25:00+0900,m5stack-bme280-device-scd30,27.11081,36.99484,,,,1349.0,9.558635567699556
2021-04-19T03:29:00+0900,m5stack-bme280-device-bme280,23.93,40.91113,1014.984,,,,8.845452974043685
2021-04-19T03:32:00+0900,m5stack-bme280-device-sgp30,,,,3216.0,1347.0,,
2021-04-19T03:35:00+0900,m5stack-bme280-device-scd30,26.10276,39.01491,,,,1356.0,9.531648494197391
2021-04-19T03:39:00+0900,m5stack-bme280-device-bme280,23.74,41.39746,1015.028,,,,8.854622817741848
2021-04-19T03:42:00+0900,m5stack-bme280-device-sgp30,,,,3121.0,1331.0,,
2021-04-19T03:45:00+0900,m5stack-bme280-device-scd30,26.18145,38.87725,,,,1367.0,9.539771318579126
2021-04-19T03:49:00+0900,m5stack-bme280-device-bme280,23.14,42.4082,1015.017,,,,8.766271370174184
2021-04-19T03:52:00+0900,m5stack-bme280-device-sgp30,,,,3013.0,1287.0,,
2021-04-19T03:55:00+0900,m5stack-bme280-device-scd30,25.82205,39.75296,,,,1375.0,9.56096544282133
2021-04-19T03:59:00+0900,m5stack-bme280-device-bme280,23.42,42.12891,1014.97,,,,8.848611907998409
