measuredAt,messageId,sensorId,temperature,humidity,pressure,tvoc,eCo2,co2,absolute_humidity
2023-02-20T00:00:00+0900,15275,myroom-device-BME280,19.93000031,44.47000122,1014.190002,,,,7.636561505856134
2023-02-20T00:00:00+0900,15276,myroom-device-SGP30,,,,0.0,400.0,,
2023-02-20T00:00:00+0900,15277,myroom-device-SCD30,22.63999939,41.33000183,,,,917.0,8.302678806030928
2023-02-20T00:01:00+0900,15281,myroom-device-SGP30,,,,0.0,400.0,,
2023-02-20T00:00:00+0900,15279,myroom-device-M5ENV3,20.30999947,47.18999863,1013.552002,,,,8.285525499570344
2023-02-20T00:00:00+0900,15278,myroom-device-SCD41,21.37999916,39.65999985,,,,957.0,7.40988971720785
2023-02-20T00:01:00+0900,15284,myroom-device-M5ENV3,20.28000069,47.43999863,1013.572998,,,,8.314857879929422
2023-02-20T00:01:00+0900,15282,myroom-device-SCD30,22.62999916,41.45000076,,,,892.0,8.322017278322605
2023-02-20T00:01:00+0900,15283,myroom-device-SCD41,21.35000038,39.79000092,,,,935.0,7.421289748443002
2023-02-20T00:01:00+0900,15280,myroom-device-BME280,19.89999962,44.75999832,1014.20697,,,,7.6728821313944255
2023-02-20T00:02:00+0900,15285,myroom-device-BME280,19.87000084,45.06999969,1014.27002,,,,7.712472737988714
2023-02-20T00:02:00+0900,15286,myroom-device-SGP30,,,,0.0,400.0,,
2023-02-20T00:02:00+0900,15287,myroom-device-SCD30,22.60000038,41.54999924,,,,892.0,8.327771387662644
2023-02-20T00:02:00+0900,15288,myroom-device-SCD41,21.32999992,39.97999954,,,,934.0,7.448103368656691
2023-02-20T00:02:00+0900,15289,myroom-device-M5ENV3,20.26000023,47.65999985,1013.60199,,,,8.343676307109378
2023-02-20T00:03:00+0900,15290,myroom-device-BME280,19.84000015,45.13999939,1014.307983,,,,7.7108992592288335
2023-02-20T00:03:00+0900,15291,myroom-device-SGP30,,,,0.0,400.0,,
2023-02-20T00:03:00+0900,15292,myroom-device-SCD30,22.56999969,41.65000153,,,,905.0,8.333477717289387
2023-02-20T00:03:00+0900,15293,myroom-device-SCD41,21.29999924,40.09999847,,,,943.0,7.457501122196873
2023-02-20T00:03:00+0900,15294,myroom-device-M5ENV3,20.25,47.75,1013.65802,,,,8.354556121840428
2023-02-20T00:04:00+0900,15295,myroom-device-BME280,19.79000092,45.22000122,1014.310974,,,,7.701985362848776
2023-02-20T00:04:00+0900,15298,myroom-device-SCD41,21.27000046,40.16999817,,,,955.0,7.45755929561563
2023-02-20T00:04:00+0900,15296,myroom-device-SGP30,,,,3.0,400.0,,
2023-02-20T00:04:00+0900,15299,myroom-device-M5ENV3,20.21999931,47.77999878,1013.698975,,,,8.3451818048645
2023-02-20T00:05:00+0900,15300,myroom-device-BME280,19.76000023,45.31000137,1014.33197,,,,7.7037664648397985
2023-02-20T00:05:00+0900,15301,myroom-device-SGP30,,,,7.0,400.0,,
2023-02-20T00:05:00+0900,15302,myroom-device-SCD30,22.53000069,41.77999878,,,,928.0,8.34034662055128
2023-02-20T00:04:00+0900,15297,myroom-device-SCD30,22.54999924,41.68999863,,,,919.0,8.33192520866259
2023-02-20T00:05:00+0900,15303,myroom-device-SCD41,21.23999977,40.20000076,,,,964.0,7.450178388046507
2023-02-20T00:05:00+0900,15304,myroom-device-M5ENV3,20.20000076,47.81999969,1013.723999,,,,8.342424695239322
2023-02-20T00:06:00+0900,15305,myroom-device-BME280,19.73999977,45.40000153,1014.356995,,,,7.710030170470565
2023-02-20T00:06:00+0900,15306,myroom-device-SGP30,,,,13.0,400.0,,
2023-02-20T00:06:00+0900,15307,myroom-device-SCD30,22.5,41.81999969,,,,935.0,8.333986230381596
2023-02-20T00:06:00+0900,15309,myroom-device-M5ENV3,20.17000008,47.95999908,1013.77301,,,,8.352207162206046
2023-02-20T00:06:00+0900,15308,myroom-device-SCD41,21.21999931,40.31000137,,,,973.0,7.461917845439637
2023-02-20T00:07:00+0900,15310,myroom-device-BME280,19.68000031,45.65000153,1014.486023,,,,7.725277788121997
2023-02-20T00:07:00+0900,15311,myroom-device-SGP30,,,,27.0,400.0,,
2023-02-20T00:07:00+0900,15314,myroom-device-M5ENV3,20.12999916,48.13000107,1013.820007,,,,8.362256888197338
2023-02-20T00:07:00+0900,15313,myroom-device-SCD41,21.17000008,40.40000153,,,,991.0,7.45695180409071
2023-02-20T00:07:00+0900,15312,myroom-device-SCD30,22.45999908,41.91999817,,,,948.0,8.334774203459213
2023-02-20T00:08:00+0900,15316,myroom-device-SGP30,,,,30.0,400.0,,
2023-02-20T00:08:00+0900,15315,myroom-device-BME280,19.67000008,45.61000061,1014.476013,,,,7.713985617527708
2023-02-20T00:08:00+0900,15317,myroom-device-SCD30,22.43000031,41.97999954,,,,956.0,8.332354347494098
2023-02-20T00:08:00+0900,15318,myroom-device-SCD41,21.14999962,40.47999954,,,,1000.0,7.463064900018144
2023-02-20T00:09:00+0900,15320,myroom-device-BME280,19.64999962,45.75999832,1014.489014,,,,7.730286022017172
2023-02-20T00:08:00+0900,15319,myroom-device-M5ENV3,20.09000015,48.27000046,1013.857971,,,,8.367008471791976
